"ecoregion","TAXA","value"
"NA0415","Mammals",0.00427651082911298
"NA0416","Mammals",0.00586648146050969
"NA0417","Mammals",0.00990859449051514
"NA0501","Mammals",0.00149162051067177
"NA0502","Mammals",0.00244693451856831
"NA0503","Mammals",0.0239004399501433
"NA0504","Mammals",0.000773937650208251
"NA0505","Mammals",0.010206383455139
"NA0506","Mammals",0.00815664098201111
"NA0507","Mammals",0.00293374290463617
"NA0508","Mammals",0.0104507080734931
"NA0509","Mammals",0.00171487433887185
"NA0510","Mammals",0.0305907224603445
"NA0511","Mammals",0.00709462293253835
"NA0512","Mammals",0.00692388274182389
"NA0513","Mammals",0.00108500549923017
"NA0514","Mammals",0.0034242739909301
"NA0515","Mammals",0.00361755663445973
"NA0516","Mammals",0.016348212970094
"NA0517","Mammals",0.0219797703512869
"NA0518","Mammals",0.0112034345363266
"NA0519","Mammals",0.00726964350791879
"NA0520","Mammals",0.00587611048274053
"NA0521","Mammals",0.000737687243565437
"NA0522","Mammals",0.0022343629092338
"NA0523","Mammals",0.0079285334046151
"NA0524","Mammals",0.0048503951112865
"NA0525","Mammals",0.0086721630000804
"NA0526","Mammals",0.0135623981014606
"NA0527","Mammals",0.0140202265846009
"NA0528","Mammals",0.00878450453630392
"NA0529","Mammals",0.0346573892003444
"NA0530","Mammals",0.00468920275651586
"NA0601","Mammals",0.0019861727888482
"NA0602","Mammals",0.00936076553164255
"NA0603","Mammals",0.000750337492385536
"NA0604","Mammals",0.000532663274505716
"NA0605","Mammals",0.00826759739221119
"NA0606","Mammals",0.0144205915332976
"NA0607","Mammals",0.012894673337074
"NA0608","Mammals",0.00826311126414542
"NA0609","Mammals",0.0092969514419072
"NA0610","Mammals",0.00584356445437658
"NA0611","Mammals",0.000416305040583367
"NA0612","Mammals",0.0112814600844099
"NA0613","Mammals",0.00667898658459885
"NA0614","Mammals",0.00567190899147633
"NA0615","Mammals",0.0001073161094101
"NA0616","Mammals",0.00607237045884551
"NA0617","Mammals",0.00202030866827027
"NA0701","Mammals",0.00551878233419771
"NA0801","Mammals",0.0281784615153252
"NA0802","Mammals",0.00779931576313644
"NA0803","Mammals",0.0137030412238989
"NA0804","Mammals",0.0166176354209277
"NA0805","Mammals",0.00719767363683443
"NA0806","Mammals",0.00611409777147837
"NA0807","Mammals",0.00149580832226537
"NA0808","Mammals",0.00366881852341673
"NA0809","Mammals",0.00275618553404563
"NA0810","Mammals",0.00517837534752895
"NA0811","Mammals",0.0234929648525867
"NA0812","Mammals",0.00214250381906443
"NA0813","Mammals",0.00352976742978125
"NA0814","Mammals",0.00310466899799802
"NA0815","Mammals",0.0164584031691121
"NA1101","Mammals",0.00606997733716939
"NA1102","Mammals",0.301302852485946
"NA1103","Mammals",0.00218693801092374
"NA1104","Mammals",0.00540298873700426
"NA1105","Mammals",0.000318769426840142
"NA1106","Mammals",0.0101454286087008
"NA1107","Mammals",0.00677468813437445
"NA1108","Mammals",0.00593973525586171
"NA1109","Mammals",0.00286522719851742
"NA1110","Mammals",0.0107256752094185
"NA1111","Mammals",0.00667367103536792
"NA1112","Mammals",0.00980886353213391
"NA1113","Mammals",0.0092738826307656
"NA1114","Mammals",0.0152844569773025
"NA1115","Mammals",0.0212605441617314
"NA1116","Mammals",0.00988019333860302
"NA1117","Mammals",0.0113741890677075
"NA1118","Mammals",0.00120214489912617
"NA1201","Mammals",0.0304068736731942
"NA1202","Mammals",0.0262846199661924
"NA1203","Mammals",0.014220614776149
"NA1301","Mammals",0.0538651698087703
"NA1302","Mammals",0.0151769565059341
"NA1303","Mammals",0.0474163847020945
"NA1304","Mammals",0.0277647668265291
"NA1305","Mammals",0.0295131416262516
"NA1306","Mammals",0.0465031471499386
"NA1307","Mammals",0.0307852243252721
"NA1308","Mammals",0.0272485072101808
"NA1309","Mammals",0.0260175469767004
"NA1310","Mammals",0.027459590632433
"NA1311","Mammals",0.00342136955007044
"NA1312","Mammals",0.00968768688320309
"NA1313","Mammals",0.0123432832417769
"NT0101","Mammals",0.0347839195574533
"NT0102","Mammals",0.00281056784969116
"NT0103","Mammals",0.0586844888344672
"NT0104","Mammals",0.0588690649397082
"NT0105","Mammals",0.0235758506150634
"NT0106","Mammals",0.00105499848066656
"NT0107","Mammals",0.014078755556937
"NT0108","Mammals",0.0059791505078139
"NT0109","Mammals",0.0208283133038427
"NT0111","Mammals",0.0159263465795516
"NT0112","Mammals",0.009957499939089
"NT0113","Mammals",0.00851196746756012
"NT0114","Mammals",0.000445769884066859
"NT0115","Mammals",0.0384668232168414
"NT0116","Mammals",0
"NT0117","Mammals",0.00616719221777649
"NT0118","Mammals",0.0197533914700177
"NT0119","Mammals",0.0105910648771872
"NT0120","Mammals",0.0517141859012827
"NT0121","Mammals",0.0553368675762979
"NT0122","Mammals",0.00549192314611303
"NT0124","Mammals",0.0152972655013576
"NT0125","Mammals",0.0464053225825716
"NT0126","Mammals",0.00118080452585743
"NT0127","Mammals",0.0814837958926405
"NT0128","Mammals",0.0108910185294502
"NT0129","Mammals",0.0156749935581556
"NT0130","Mammals",0.0174533108569839
"NT0131","Mammals",0.0899819807824119
"NT0132","Mammals",0.0200171600056215
"NT0133","Mammals",0.0222335268840017
"NT0134","Mammals",0.0625958470926588
"NT0135","Mammals",0.0725521924100183
"NT0136","Mammals",0.0547626649585743
"NT0137","Mammals",0.0231546782371997
"NT0138","Mammals",0.0120224607666089
"NT0139","Mammals",0.00964879854471128
"NT0140","Mammals",0.0206091764000124
"NT0141","Mammals",0.00723927214284271
"NT0142","Mammals",0.0463576113540354
"NT0143","Mammals",0.016648492708642
"NT0144","Mammals",0.00100366013788976
"NT0145","Mammals",0.0623617726700395
"NT0146","Mammals",0.0216439452528403
"NT0147","Mammals",0.00359477357332622
"NT0148","Mammals",0.00241714442319008
"NT0149","Mammals",0.000713883460176582
"NT0150","Mammals",0.0584719062426977
"NT0151","Mammals",0.00607185678136753
"NT0152","Mammals",0.00496610248772686
"NT0153","Mammals",0.0729478554257804
"NT0154","Mammals",0.0365317080497303
"NT0155","Mammals",0.0362102736054773
"NT0156","Mammals",0.0169757098065476
"NT0157","Mammals",0.0168092226668843
"NT0158","Mammals",0.00796552636759602
"NT0159","Mammals",0.00952286533857765
"NT0160","Mammals",0.0652334934871383
"NT0161","Mammals",0.00932838799456017
"NT0162","Mammals",0.00677078035034723
"NT0163","Mammals",0.0148546380986804
"NT0164","Mammals",0.00576551753389747
"NT0165","Mammals",0.062185676134682
"NT0166","Mammals",0.0677118734572393
"NT0167","Mammals",0.0276774990120573
"NT0168","Mammals",0.0280797416890642
"NT0169","Mammals",0.0114428942254616
"NT0170","Mammals",0.0217760976291076
"NT0171","Mammals",0.0376330220649278
"NT0173","Mammals",0.0318177689274155
"NT0174","Mammals",0.0164797636120295
"NT0175","Mammals",0.0223835288947869
"NT0176","Mammals",0.0145031692707836
"NT0177","Mammals",0.00537819984768592
"NT0178","Mammals",0.0185563937456043
"NT0179","Mammals",0.0226659087636203
"NT0180","Mammals",0.0240655431698116
"NT0181","Mammals",0.0252857898439387
"NT0182","Mammals",0.0169640605059354
"NT0201","Mammals",0.0077568088126205
"NT0202","Mammals",0.00860084598344143
"NT0204","Mammals",0.00676256120989393
"NT0205","Mammals",0.0207860036874718
"NT0206","Mammals",0.0273462661010209
"NT0207","Mammals",0.00296478168440758
"NT0209","Mammals",0.0123980950695904
"NT0210","Mammals",0.127746496122944
"NT0211","Mammals",0.00927897840808694
"NT0212","Mammals",0.0234562922456668
"NT0213","Mammals",0.11218785007385
"NT0214","Mammals",0.00818951841042992
"NT0215","Mammals",0.0302441374760668
"NT0216","Mammals",0
"NT0217","Mammals",0.0236634978264915
"NT0218","Mammals",0.0204512755467685
"NT0219","Mammals",0.007619752095655
"NT0220","Mammals",0.00305509075127921
"NT0221","Mammals",0.00594754328866433
"NT0222","Mammals",0.0050632387186868
"NT0223","Mammals",0.00942953669039956
"NT0224","Mammals",0.00136799053168463
"NT0225","Mammals",0.000923493602126806
"NT0226","Mammals",0.00612333331641441
"NT0227","Mammals",0.0153587593776446
"NT0228","Mammals",0.0204903692891139
"NT0229","Mammals",0.00808513158984235
"NT0230","Mammals",0.0241147610349833
"NT0232","Mammals",0.0140703996436972
"NT0233","Mammals",0.00204378249645625
"NT0235","Mammals",0.0125787734106717
"NT0301","Mammals",0.016248249354797
"NT0302","Mammals",0.000767634552624512
"NT0303","Mammals",0.0516190230726202
"NT0304","Mammals",0.022657511529256
"NT0305","Mammals",0.036789330402146
"NT0306","Mammals",0.00241567084868709
"NT0307","Mammals",0.00609487160409669
"NT0308","Mammals",0.0293452305111416
"NT0309","Mammals",0.051356523104062
"NT0310","Mammals",0.0752253074458284
"NT0401","Mammals",0
"NT0402","Mammals",0.132065243387532
"NT0404","Mammals",0.186529286081916
"NT0702","Mammals",0.0156693256347324
"NT0703","Mammals",0.0181489912942248
"NT0704","Mammals",0.120340736772764
"NT0705","Mammals",0
"NT0707","Mammals",0.00829513340582582
"NT0708","Mammals",0.0465492705513327
"NT0709","Mammals",0.028908372751932
"NT0710","Mammals",0.0702574721609814
"NT0801","Mammals",0.034885929500363
"NT0802","Mammals",0.142658658714026
"NT0803","Mammals",0.0536695117891979
"NT0805","Mammals",0.14648432629361
"NT0902","Mammals",0.0239435766159152
"NT0903","Mammals",0.00106667804466241
"NT0904","Mammals",0.0143041248687199
"NT0905","Mammals",0.00275737614233104
"NT0906","Mammals",0.000951689401639102
"NT0907","Mammals",0.0138975552497918
"NT0908","Mammals",0.0170143897123061
"NT0909","Mammals",0.00719322898343274
"NT1001","Mammals",0.103954912554705
"NT1002","Mammals",0.0718834988954629
"NT1003","Mammals",0.0538488375674016
"NT1004","Mammals",0.0366775949264485
"NT1005","Mammals",0.0171313871941535
"NT1006","Mammals",0.0707346451537045
"NT1007","Mammals",0.00948619214635704
"NT1008","Mammals",0.0534765459192071
"NT1010","Mammals",0.106039866048557
"NT1201","Mammals",0.086269140858879
"NT1301","Mammals",0.00150971890859877
"NT1303","Mammals",0.0318146731287316
"NT1304","Mammals",0.0710480462239899
"NT1305","Mammals",0.0545687849230081
"NT1306","Mammals",0.00563257175888475
"NT1307","Mammals",0.26183600832645
"NT1308","Mammals",0.0131306899244543
"NT1309","Mammals",0.0103865244988166
"NT1312","Mammals",0.00102553010615601
