"ecoregion","TAXA","value"
"OC0203","Mammals",2
"OC0701","Mammals",1
"OC0702","Mammals",1
"PA0101","Mammals",113
"PA0102","Mammals",201
"PA0401","Mammals",68
"PA0402","Mammals",77
"PA0403","Mammals",1
"PA0404","Mammals",90
"PA0405","Mammals",55
"PA0406","Mammals",70
"PA0407","Mammals",98
"PA0408","Mammals",116
"PA0409","Mammals",37
"PA0410","Mammals",58
"PA0411","Mammals",106
"PA0412","Mammals",98
"PA0413","Mammals",56
"PA0414","Mammals",69
"PA0415","Mammals",95
"PA0416","Mammals",78
"PA0417","Mammals",113
"PA0418","Mammals",82
"PA0419","Mammals",112
"PA0420","Mammals",62
"PA0421","Mammals",36
"PA0422","Mammals",93
"PA0423","Mammals",39
"PA0424","Mammals",100
"PA0425","Mammals",3
"PA0426","Mammals",101
"PA0427","Mammals",50
"PA0428","Mammals",70
"PA0429","Mammals",31
"PA0430","Mammals",78
"PA0431","Mammals",94
"PA0432","Mammals",77
"PA0433","Mammals",70
"PA0434","Mammals",106
"PA0435","Mammals",78
"PA0436","Mammals",85
"PA0437","Mammals",109
"PA0438","Mammals",32
"PA0439","Mammals",37
"PA0440","Mammals",52
"PA0441","Mammals",55
"PA0442","Mammals",32
"PA0443","Mammals",74
"PA0444","Mammals",79
"PA0445","Mammals",88
"PA0446","Mammals",108
"PA0501","Mammals",90
"PA0502","Mammals",121
"PA0503","Mammals",25
"PA0504","Mammals",85
"PA0505","Mammals",66
"PA0506","Mammals",89
"PA0507","Mammals",99
"PA0508","Mammals",43
"PA0509","Mammals",147
"PA0510","Mammals",39
"PA0511","Mammals",68
"PA0512","Mammals",50
"PA0513","Mammals",44
"PA0514","Mammals",88
"PA0515","Mammals",69
"PA0516","Mammals",199
"PA0517","Mammals",90
"PA0518","Mammals",142
"PA0519","Mammals",107
"PA0520","Mammals",34
"PA0521","Mammals",89
"PA0601","Mammals",87
"PA0602","Mammals",1
"PA0603","Mammals",26
"PA0604","Mammals",24
"PA0605","Mammals",43
"PA0606","Mammals",71
"PA0607","Mammals",36
"PA0608","Mammals",82
"PA0609","Mammals",76
"PA0610","Mammals",69
"PA0611","Mammals",73
"PA0801","Mammals",79
"PA0802","Mammals",100
"PA0803","Mammals",48
"PA0804","Mammals",83
"PA0805","Mammals",98
"PA0806","Mammals",78
"PA0807","Mammals",0
"PA0808","Mammals",92
"PA0809","Mammals",102
"PA0810","Mammals",103
"PA0811","Mammals",67
"PA0812","Mammals",96
"PA0813","Mammals",118
"PA0814","Mammals",142
"PA0815","Mammals",82
"PA0816","Mammals",103
"PA0817","Mammals",79
"PA0818","Mammals",97
"PA0901","Mammals",71
"PA0902","Mammals",36
"PA0903","Mammals",46
"PA0904","Mammals",42
"PA0905","Mammals",47
"PA0906","Mammals",48
"PA0907","Mammals",71
"PA0908","Mammals",26
"PA1001","Mammals",117
"PA1002","Mammals",96
"PA1003","Mammals",117
"PA1004","Mammals",79
"PA1005","Mammals",79
"PA1006","Mammals",45
"PA1007","Mammals",62
"PA1008","Mammals",80
"PA1009","Mammals",79
"PA1010","Mammals",22
"PA1011","Mammals",69
"PA1012","Mammals",80
"PA1013","Mammals",81
"PA1014","Mammals",85
"PA1015","Mammals",50
"PA1016","Mammals",93
"PA1017","Mammals",178
"PA1018","Mammals",85
"PA1019","Mammals",105
"PA1020","Mammals",75
"PA1021","Mammals",61
"PA1022","Mammals",39
"PA1101","Mammals",4
"PA1102","Mammals",34
"PA1103","Mammals",42
"PA1104","Mammals",30
"PA1105","Mammals",26
"PA1106","Mammals",24
"PA1107","Mammals",26
"PA1108","Mammals",36
"PA1109","Mammals",0
"PA1110","Mammals",46
"PA1111","Mammals",38
"PA1112","Mammals",66
"PA1113","Mammals",3
"PA1114","Mammals",36
"PA1201","Mammals",88
"PA1202","Mammals",57
"PA1203","Mammals",6
"PA1204","Mammals",22
"PA1205","Mammals",18
"PA1206","Mammals",3
"PA1207","Mammals",95
"PA1208","Mammals",62
"PA1209","Mammals",75
"PA1210","Mammals",75
"PA1211","Mammals",74
"PA1212","Mammals",61
"PA1213","Mammals",70
"PA1214","Mammals",74
"PA1215","Mammals",75
"PA1216","Mammals",66
"PA1217","Mammals",68
"PA1218","Mammals",56
"PA1219","Mammals",43
"PA1220","Mammals",79
"PA1221","Mammals",55
"PA1222","Mammals",58
"PA1301","Mammals",66
"PA1302","Mammals",100
"PA1303","Mammals",102
"PA1304","Mammals",24
"PA1305","Mammals",89
"PA1306","Mammals",88
"PA1307","Mammals",135
"PA1308","Mammals",98
"PA1309","Mammals",93
"PA1310","Mammals",112
"PA1311","Mammals",96
"PA1312","Mammals",96
"PA1313","Mammals",111
"PA1314","Mammals",62
"PA1315","Mammals",72
"PA1316","Mammals",102
"PA1317","Mammals",110
"PA1318","Mammals",96
"PA1319","Mammals",75
"PA1320","Mammals",93
"PA1321","Mammals",76
"PA1322","Mammals",86
"PA1323","Mammals",34
"PA1324","Mammals",52
"PA1325","Mammals",77
"PA1326","Mammals",68
"PA1327","Mammals",54
"PA1328","Mammals",88
"PA1329","Mammals",68
"PA1330","Mammals",93
"PA1331","Mammals",33
"PA1332","Mammals",41
"PA1333","Mammals",31
"AA0101","Birds",64
"AA0102","Birds",225
"AA0103","Birds",107
"AA0104","Birds",178
"AA0105","Birds",348
"AA0106","Birds",223
"AA0107","Birds",370
"AA0108","Birds",147
"AA0109","Birds",29
"AA0110","Birds",100
"AA0111","Birds",185
"AA0112","Birds",103
"AA0113","Birds",90
"AA0114","Birds",42
"AA0115","Birds",359
"AA0116","Birds",264
"AA0117","Birds",375
"AA0118","Birds",213
"AA0119","Birds",198
"AA0120","Birds",509
"AA0121","Birds",339
"AA0122","Birds",344
"AA0123","Birds",337
"AA0124","Birds",168
"AA0125","Birds",136
"AA0126","Birds",79
"AA0127","Birds",354
"AA0128","Birds",366
"AA0201","Birds",273
"AA0202","Birds",79
"AA0203","Birds",180
"AA0204","Birds",229
"AA0401","Birds",72
"AA0402","Birds",380
"AA0403","Birds",45
"AA0404","Birds",52
"AA0405","Birds",59
"AA0406","Birds",62
"AA0407","Birds",46
"AA0408","Birds",58
"AA0409","Birds",345
"AA0410","Birds",48
"AA0411","Birds",150
"AA0412","Birds",163
"AA0413","Birds",153
"AA0414","Birds",50
"AA0701","Birds",283
"AA0702","Birds",387
"AA0703","Birds",328
"AA0704","Birds",307
"AA0705","Birds",268
"AA0706","Birds",310
"AA0707","Birds",231
"AA0708","Birds",306
"AA0709","Birds",214
"AA0801","Birds",48
"AA0802","Birds",215
"AA0803","Birds",296
"AA1001","Birds",227
"AA1002","Birds",84
"AA1003","Birds",42
"AA1101","Birds",77
"AA1201","Birds",190
"AA1202","Birds",223
"AA1203","Birds",265
"AA1204","Birds",195
"AA1205","Birds",227
"AA1206","Birds",268
"AA1207","Birds",294
"AA1208","Birds",274
"AA1209","Birds",252
"AA1210","Birds",208
"AA1301","Birds",217
"AA1302","Birds",186
"AA1303","Birds",120
"AA1304","Birds",185
"AA1305","Birds",160
"AA1306","Birds",167
"AA1307","Birds",208
"AA1308","Birds",209
"AA1309","Birds",250
"AA1310","Birds",170
"AA1401","Birds",306
"AT0101","Birds",732
"AT0102","Birds",484
"AT0103","Birds",573
"AT0104","Birds",342
"AT0105","Birds",79
"AT0106","Birds",373
"AT0107","Birds",485
"AT0108","Birds",621
"AT0109","Birds",547
"AT0110","Birds",352
"AT0111","Birds",517
"AT0112","Birds",482
"AT0113","Birds",54
"AT0114","Birds",405
"AT0115","Birds",272
"AT0116","Birds",373
"AT0117","Birds",172
"AT0118","Birds",151
"AT0119","Birds",389
"AT0120","Birds",54
"AT0121","Birds",403
"AT0122","Birds",333
"AT0123","Birds",407
"AT0124","Birds",554
"AT0125","Birds",552
"AT0126","Birds",525
"AT0127","Birds",106
"AT0128","Birds",445
"AT0129","Birds",321
"AT0130","Birds",453
"AT0201","Birds",67
"AT0202","Birds",162
"AT0203","Birds",380
"AT0701","Birds",531
"AT0702","Birds",383
"AT0703","Birds",17
"AT0704","Birds",698
"AT0705","Birds",606
"AT0706","Birds",456
"AT0707","Birds",550
"AT0708","Birds",359
"AT0709","Birds",470
"AT0710","Birds",318
"AT0711","Birds",688
"AT0712","Birds",610
"AT0713","Birds",539
"AT0714","Birds",426
"AT0715","Birds",538
"AT0716","Birds",596
"AT0717","Birds",471
"AT0718","Birds",553
"AT0719","Birds",508
"AT0721","Birds",623
"AT0722","Birds",551
"AT0723","Birds",552
"AT0724","Birds",366
"AT0725","Birds",552
"AT0726","Birds",507
"AT0801","Birds",70
"AT0802","Birds",14
"AT0803","Birds",67
"AT0901","Birds",223
"AT0902","Birds",217
"AT0903","Birds",287
"AT0904","Birds",293
"AT0905","Birds",394
"AT0906","Birds",309
"AT0907","Birds",498
"AT0908","Birds",256
"AT1001","Birds",355
"AT1002","Birds",387
"AT1003","Birds",288
"AT1004","Birds",450
"AT1005","Birds",116
"AT1006","Birds",400
"AT1007","Birds",516
"AT1008","Birds",347
"AT1009","Birds",396
"AT1010","Birds",59
"AT1011","Birds",44
"AT1012","Birds",351
"AT1013","Birds",181
"AT1014","Birds",412
"AT1015","Birds",485
"AT1201","Birds",280
"AT1202","Birds",296
"AT1203","Birds",311
"AT1302","Birds",244
"AT1303","Birds",232
"AT1304","Birds",209
"AT1305","Birds",358
"AT1306","Birds",256
"AT1307","Birds",147
"AT1308","Birds",0
"AT1309","Birds",333
"AT1310","Birds",233
"AT1311","Birds",151
"AT1312","Birds",152
"AT1313","Birds",327
"AT1314","Birds",300
"AT1315","Birds",189
"AT1316","Birds",303
"AT1318","Birds",78
"AT1319","Birds",159
"AT1320","Birds",210
"AT1321","Birds",116
"AT1322","Birds",225
"AT1401","Birds",217
"AT1402","Birds",235
"AT1403","Birds",191
"AT1404","Birds",125
"AT1405","Birds",224
"IM0101","Birds",123
"IM0102","Birds",467
"IM0103","Birds",256
"IM0104","Birds",396
"IM0105","Birds",372
"IM0106","Birds",324
"IM0107","Birds",307
"IM0108","Birds",368
"IM0109","Birds",414
"IM0110","Birds",19
"IM0111","Birds",313
"IM0112","Birds",213
"IM0113","Birds",346
"IM0114","Birds",283
"IM0115","Birds",343
"IM0116","Birds",269
"IM0117","Birds",342
"IM0118","Birds",564
"IM0119","Birds",568
"IM0120","Birds",383
"IM0121","Birds",541
"IM0122","Birds",163
"IM0123","Birds",365
"IM0124","Birds",280
"IM0125","Birds",57
"IM0126","Birds",443
"IM0127","Birds",212
"IM0128","Birds",173
"IM0129","Birds",327
"IM0130","Birds",238
"IM0131","Birds",580
"IM0132","Birds",357
"IM0133","Birds",82
"IM0134","Birds",346
"IM0135","Birds",327
"IM0136","Birds",524
"IM0137","Birds",847
"IM0138","Birds",390
"IM0139","Birds",379
"IM0140","Birds",372
"IM0141","Birds",306
"IM0142","Birds",215
"IM0143","Birds",246
"IM0144","Birds",258
"IM0145","Birds",381
"IM0146","Birds",452
"IM0147","Birds",276
"IM0148","Birds",0
"IM0149","Birds",694
"IM0150","Birds",323
"IM0151","Birds",309
"IM0152","Birds",414
"IM0153","Birds",361
"IM0154","Birds",229
"IM0155","Birds",179
"IM0156","Birds",184
"IM0157","Birds",391
"IM0158","Birds",308
"IM0159","Birds",391
"IM0160","Birds",463
"IM0161","Birds",353
"IM0162","Birds",189
"IM0163","Birds",560
"IM0164","Birds",299
"IM0165","Birds",301
"IM0166","Birds",293
"IM0167","Birds",235
"IM0168","Birds",355
"IM0169","Birds",315
"IM0170","Birds",138
"IM0171","Birds",322
"IM0172","Birds",333
"IM0201","Birds",298
"IM0202","Birds",491
"IM0203","Birds",268
"IM0204","Birds",230
"IM0205","Birds",338
"IM0206","Birds",299
"IM0207","Birds",276
"IM0208","Birds",261
"IM0209","Birds",261
"IM0210","Birds",454
"IM0211","Birds",320
"IM0212","Birds",270
"IM0301","Birds",469
"IM0302","Birds",149
"IM0303","Birds",286
"IM0304","Birds",166
"IM0401","Birds",490
"IM0402","Birds",365
"IM0403","Birds",126
"IM0501","Birds",202
"IM0502","Birds",315
"IM0701","Birds",366
"IM0901","Birds",205
"IM1001","Birds",184
