"TAXA","ecoregions","allLUType","value"
"Amphibians","AA0201","CurNC_L",0.949880057665728
"Amphibians","AA0201","CurNC_M",0.641921758490965
"Amphibians","AA0201","PriFor",1
"Amphibians","AA0202","Cur0",1
"Amphibians","AA0202","CurC",0.413440210495114
"Amphibians","AA0202","CurC_L",0.949880057665728
"Amphibians","AA0202","CurC_M",0.641921758490965
"Amphibians","AA0202","CurNC",0.413440210495114
"Amphibians","AA0202","CurNC_L",0.949880057665728
"Amphibians","AA0202","CurNC_M",0.641921758490965
"Amphibians","AA0202","PriFor",1
"Amphibians","AA0203","Cur0",1
"Amphibians","AA0203","CurC",0.413440210495114
"Amphibians","AA0203","CurC_L",0.949880057665728
"Amphibians","AA0203","CurC_M",0.641921758490965
"Amphibians","AA0203","CurNC",0.413440210495114
"Amphibians","AA0203","CurNC_L",0.949880057665728
"Amphibians","AA0203","CurNC_M",0.641921758490965
"Amphibians","AA0203","PriFor",1
"Amphibians","AA0204","Cur0",1
"Amphibians","AA0204","CurC",0.413440210495114
"Amphibians","AA0204","CurC_L",0.949880057665728
"Amphibians","AA0204","CurC_M",0.641921758490965
"Amphibians","AA0204","CurNC",0.413440210495114
"Amphibians","AA0204","CurNC_L",0.949880057665728
"Amphibians","AA0204","CurNC_M",0.641921758490965
"Amphibians","AA0204","PriFor",1
"Amphibians","AA0401","Cur0",1
"Amphibians","AA0401","CurC",0.413440210495114
"Amphibians","AA0401","CurC_L",0.949880057665728
"Amphibians","AA0401","CurC_M",0.641921758490965
"Amphibians","AA0401","CurNC",0.413440210495114
"Amphibians","AA0401","CurNC_L",0.949880057665728
"Amphibians","AA0401","CurNC_M",0.641921758490965
"Amphibians","AA0401","PriFor",1
"Amphibians","AA0402","Cur0",1
"Amphibians","AA0402","CurC",0.413440210495114
"Amphibians","AA0402","CurC_L",0.949880057665728
"Amphibians","AA0402","CurC_M",0.641921758490965
"Amphibians","AA0402","CurNC",0.413440210495114
"Amphibians","AA0402","CurNC_L",0.949880057665728
"Amphibians","AA0402","CurNC_M",0.641921758490965
"Amphibians","AA0402","PriFor",1
"Amphibians","AA0403","Cur0",1
"Amphibians","AA0403","CurC",0.413440210495114
"Amphibians","AA0403","CurC_L",0.949880057665728
"Amphibians","AA0403","CurC_M",0.641921758490965
"Amphibians","AA0403","CurNC",0.413440210495114
"Amphibians","AA0403","CurNC_L",0.949880057665728
"Amphibians","AA0403","CurNC_M",0.641921758490965
"Amphibians","AA0403","PriFor",1
"Amphibians","AA0404","Cur0",1
"Amphibians","AA0404","CurC",0.413440210495114
"Amphibians","AA0404","CurC_L",0.949880057665728
"Amphibians","AA0404","CurC_M",0.641921758490965
"Amphibians","AA0404","CurNC",0.413440210495114
"Amphibians","AA0404","CurNC_L",0.949880057665728
"Amphibians","AA0404","CurNC_M",0.641921758490965
"Amphibians","AA0404","PriFor",1
"Amphibians","AA0405","Cur0",1
"Amphibians","AA0405","CurC",0.413440210495114
"Amphibians","AA0405","CurC_L",0.949880057665728
"Amphibians","AA0405","CurC_M",0.641921758490965
"Amphibians","AA0405","CurNC",0.413440210495114
"Amphibians","AA0405","CurNC_L",0.949880057665728
"Amphibians","AA0405","CurNC_M",0.641921758490965
"Amphibians","AA0405","PriFor",1
"Amphibians","AA0406","Cur0",1
"Amphibians","AA0406","CurC",0.413440210495114
"Amphibians","AA0406","CurC_L",0.949880057665728
"Amphibians","AA0406","CurC_M",0.641921758490965
"Amphibians","AA0406","CurNC",0.413440210495114
"Amphibians","AA0406","CurNC_L",0.949880057665728
"Amphibians","AA0406","CurNC_M",0.641921758490965
"Amphibians","AA0406","PriFor",1
"Amphibians","AA0407","Cur0",1
"Amphibians","AA0407","CurC",0.413440210495114
"Amphibians","AA0407","CurC_L",0.949880057665728
"Amphibians","AA0407","CurC_M",0.641921758490965
"Amphibians","AA0407","CurNC",0.413440210495114
"Amphibians","AA0407","CurNC_L",0.949880057665728
"Amphibians","AA0407","CurNC_M",0.641921758490965
"Amphibians","AA0407","PriFor",1
"Amphibians","AA0408","Cur0",1
